167 -1.86333 -3.51333 3.60333
168 -1.62667 -3.89333 4.10667
169 -1.39 -4.27333 4.61
170 -1.15333 -4.65333 5.11333
171 -0.916667 -5.03333 5.61667
172 -0.68 -5.41333 6.12
173 -0.443333 -5.79333 6.62333
174 -0.206667 -6.17333 7.12667
175 0.03 -6.55333 7.63
176 -4.1 0.458333 -1.2
177 -3.86667 0.0833333 -0.733333
178 -3.63333 -0.291667 -0.266667
179 -3.4 -0.666667 0.2
180 -3.16667 -1.04167 0.666667
181 -2.93333 -1.41667 1.13333
182 -2.7 -1.79167 1.6
183 -2.46667 -2.16667 2.06667
184 -2.23333 -2.54167 2.53333
185 -2 -2.91667 3
186 -1.76667 -3.29167 3.46667
187 -1.53333 -3.66667 3.93333
188 -1.3 -4.04167 4.4
189 -1.06667 -4.41667 4.86667
190 -0.833333 -4.79167 5.33333
191 -0.6 -5.16667 5.8
192 -0.366667 -5.54167 6.26667
193 -0.133333 -5.91667 6.73333
194 0.1 -6.29167 7.2
195 -3.97 0.63 -0.97
196 -3.74 0.26 -0.54
197 -3.51 -0.11 -0.11
198 -3.28 -0.48 0.32
199 -3.05 -0.85 0.75
200 -2.82 -1.22 1.18
201 -2.59 -1.59 1.61
202 -2.36 -1.96 2.04
203 -2.13 -2.33 2.47
204 -1.9 -2.7 2.9
205 -1.67 -3.07 3.33
206 -1.44 -3.44 3.76
207 -1.21 -3.81 4.19
208 -0.98 -4.18 4.62
209 -0.75 -4.55 5.05
210 -0.52 -4.92 5.48
211 -0.29 -5.29 5.91
212 -0.06 -5.66 6.34
213 0.17 -6.03 6.77
214 -3.84 0.801667 -0.74
215 -3.61333 0.436667 -0.346667
216 -3.38667 0.0716667 0.0466667
217 -3.16 -0.293333 0.44
218 -2.93333 -0.658333 0.833333
219 -2.70667 -1.02333 1.22667
220 -2.48 -1.38833 1.62
221 -2.25333 -1.75333 2.01333
222 -2.02667 -2.11833 2.40667
223 -1.8 -2.48333 2.8
224 -1.57333 -2.84833 3.19333
225 -1.34667 -3.21333 3.58667
226 -1.12 -3.57833 3.98
227 -0.893333 -3.94333 4.37333
228 -0.666667 -4.30833 4.76667
229 -0.44 -4.67333 5.16
230 -0.213333 -5.03833 5.55333
231 0.0133333 -5.40333 5.94667
232 0.24 -5.76833 6.34
233 -3.71 0.973333 -0.51
234 -3.48667 0.613333 -0.153333
235 -3.26333 0.253333 0.203333
236 -3.04 -0.106667 0.56
237 -2.81667 -0.466667 0.916667
238 -2.59333 -0.826667 1.27333
239 -2.37 -1.18667 1.63
240 -2.14667 -1.54667 1.98667
241 -1.92333 -1.90667 2.34333
242 -1.7 -2.26667 2.7
243 -1.47667 -2.62667 3.05667
244 -1.25333 -2.98667 3.41333
245 -1.03 -3.34667 3.77
246 -0.806667 -3.70667 4.12667
247 -0.583333 -4.06667 4.48333
248 -0.36 -4.42667 4.84
249 -0.136667 -4.78667 5.19667
250 0.0866667 -5.14667 5.55333
251 0.31 -5.50667 5.91
252 -3.58 1.145 -0.28
253 -3.36 0.79 0.04
254 -3.14 0.435 0.36
255 -2.92 0.08 0.68
256 -2.7 -0.275 1
257 -2.48 -0.63 1.32
258 -2.26 -0.985 1.64
259 -2.04 -1.34 1.96
260 -1.82 -1.695 2.28
